기준_날짜,기준_시간,시작_대여소,종료_대여소,전체건수,전체_이용_분,전체_이용_거리
20220731,0,ST-462,ST-555,1,63,1990
20220731,0,ST-2815,ST-419,1,6,920
20220731,0,ST-1109,ST-1213,1,26,5000
20220731,0,ST-148,ST-3052,1,8,253
20220731,0,ST-1690,ST-106,1,10,1750
20220731,0,ST-1996,ST-1996,2,0,0
20220731,0,ST-2953,ST-856,1,2,330
20220731,0,ST-699,ST-702,1,53,4553
20220731,0,ST-1714,ST-2027,1,16,2820
20220731,0,ST-2898,ST-1280,1,19,3636
20220731,0,ST-327,ST-2456,2,25,2737
20220731,0,ST-2513,ST-151,1,2,111
20220731,0,ST-213,ST-3008,1,4,990
20220731,0,ST-2729,ST-1473,1,5,727
20220731,0,ST-551,ST-546,1,27,2620
20220731,0,ST-1539,ST-2822,1,9,1840
20220731,0,ST-1621,ST-830,1,16,3146
20220731,0,ST-2257,ST-478,1,15,1492
20220731,0,ST-2774,ST-1017,1,4,670
20220731,0,ST-978,ST-978,2,42,3663
20220731,0,ST-2031,ST-824,1,8,1510
20220731,0,ST-801,ST-1361,1,35,5742
20220731,0,ST-2223,ST-1287,1,40,5910
20220731,0,ST-1417,ST-907,1,74,2025
20220731,0,ST-421,ST-73,4,223,16996
20220731,0,ST-60,ST-1653,1,10,1990
20220731,0,ST-1251,ST-522,1,6,1172
20220731,0,ST-525,ST-835,1,6,1270
20220731,0,ST-285,ST-1320,2,20,2804
20220731,0,ST-1344,ST-1344,2,134,3635
20220731,0,ST-2031,ST-2047,2,21,2894
20220731,0,ST-594,ST-2881,1,7,1690
20220731,0,ST-2717,ST-1283,1,1,250
20220731,0,ST-2003,ST-1014,1,19,2570
20220731,0,ST-488,ST-1059,1,34,5900
20220731,0,ST-492,ST-2732,1,100,5107
20220731,0,ST-562,ST-169,1,30,3477
20220731,0,ST-777,ST-1895,1,26,2610
20220731,0,ST-699,ST-728,1,11,1870
20220731,0,ST-2264,ST-463,1,18,2206
20220731,0,ST-520,ST-1069,1,15,2034
20220731,0,ST-1617,ST-360,1,10,230
20220731,0,ST-1369,ST-2732,1,8,1140
20220731,0,ST-470,ST-481,1,7,860
20220731,0,ST-1046,ST-2740,2,92,5861
20220731,0,ST-3085,ST-488,1,55,1894
20220731,0,ST-2690,ST-99,1,78,16757
20220731,0,ST-873,ST-666,1,8,1127
20220731,0,ST-2811,ST-1218,1,18,3680
20220731,0,ST-2932,ST-705,1,30,3122
20220731,0,ST-2353,ST-1268,1,22,2495
20220731,0,ST-579,ST-579,1,3,129
