Date,Open,High,Low,Close,Adj Close,Volume
2020-01-02,55500.000000,56000.000000,55000.000000,55200.000000,50037.410156,12993228
2020-01-03,56000.000000,56600.000000,54900.000000,55500.000000,50309.359375,15422255
2020-01-06,54900.000000,55600.000000,54600.000000,55500.000000,50309.359375,10278951
2020-01-07,55700.000000,56400.000000,55600.000000,55800.000000,50581.296875,10009778
2020-01-08,56200.000000,57400.000000,55900.000000,56800.000000,51487.773438,23501171
2020-01-09,58400.000000,58600.000000,57400.000000,58600.000000,53119.421875,24102579
2020-01-10,58800.000000,59700.000000,58300.000000,59500.000000,53935.253906,16000170
2020-01-13,59600.000000,60000.000000,59100.000000,60000.000000,54388.492188,11359139
2020-01-14,60400.000000,61000.000000,59900.000000,60000.000000,54388.492188,16906295
2020-01-15,59500.000000,59600.000000,58900.000000,59000.000000,53482.015625,14300928
2020-01-16,59100.000000,60700.000000,59000.000000,60700.000000,55023.027344,14381774
2020-01-17,61900.000000,62000.000000,61000.000000,61300.000000,55566.906250,16025661
2020-01-20,62000.000000,62800.000000,61700.000000,62400.000000,56564.031250,12528855
2020-01-21,62000.000000,62400.000000,61200.000000,61400.000000,55657.554688,11142693
2020-01-22,60500.000000,62600.000000,60400.000000,62300.000000,56473.378906,15339565
2020-01-23,61800.000000,61800.000000,60700.000000,60800.000000,55113.671875,14916555
2020-01-28,59400.000000,59400.000000,58300.000000,58800.000000,53300.714844,23664541
2020-01-29,59100.000000,59700.000000,58800.000000,59100.000000,53572.667969,16446102
2020-01-30,58800.000000,58800.000000,56800.000000,57200.000000,51850.355469,20821939
2020-01-31,57800.000000,58400.000000,56400.000000,56400.000000,51125.183594,19749457
2020-02-03,55500.000000,57400.000000,55200.000000,57200.000000,51850.355469,23995260
2020-02-04,57100.000000,59000.000000,56800.000000,58900.000000,53391.371094,21800192
2020-02-05,60000.000000,60200.000000,58900.000000,59500.000000,53935.253906,19278165
2020-02-06,60100.000000,61100.000000,59700.000000,61100.000000,55385.609375,14727159
2020-02-07,61100.000000,61200.000000,59700.000000,60400.000000,54751.082031,16402493
2020-02-10,59200.000000,59800.000000,59100.000000,59700.000000,54116.539063,13107121
2020-02-11,59800.000000,60700.000000,59700.000000,59900.000000,54297.839844,11071231
2020-02-12,60300.000000,60700.000000,59700.000000,60500.000000,54841.734375,12904207
2020-02-13,61200.000000,61600.000000,60500.000000,60700.000000,55023.027344,18449775
2020-02-14,60900.000000,61900.000000,60200.000000,61800.000000,56020.144531,13276067
2020-02-17,61600.000000,62000.000000,61200.000000,61500.000000,55748.199219,8740596
2020-02-18,60800.000000,60900.000000,59700.000000,59800.000000,54207.199219,16674266
2020-02-19,59800.000000,60400.000000,59400.000000,60200.000000,54569.781250,12951496
2020-02-20,60700.000000,61300.000000,59600.000000,60000.000000,54388.492188,14591924
2020-02-21,58800.000000,59800.000000,58500.000000,59200.000000,53663.312500,13777393
2020-02-24,57400.000000,58100.000000,56800.000000,56800.000000,51487.773438,25627537
2020-02-25,56200.000000,58000.000000,56200.000000,57900.000000,52484.886719,23885408
2020-02-26,56000.000000,57000.000000,56000.000000,56500.000000,51215.824219,25483102
2020-02-27,56300.000000,56900.000000,55500.000000,55900.000000,50671.937500,23209541
2020-02-28,55000.000000,55500.000000,54200.000000,54200.000000,49130.941406,30054227
2020-03-02,54300.000000,55500.000000,53600.000000,55000.000000,49856.109375,30403412
2020-03-03,56700.000000,56900.000000,55100.000000,55400.000000,50218.703125,30330295
2020-03-04,54800.000000,57600.000000,54600.000000,57400.000000,52031.656250,24765728
2020-03-05,57600.000000,58000.000000,56700.000000,57800.000000,52394.246094,21698990
